limit,query_1_time,query_2_time,time_difference
1000000,1610.451834000287,214.23416700008602,1396.217667000201
900000,1359.9556249996567,200.35379199998715,1159.6018329996696
800000,1464.5637929997974,202.43062500003361,1262.1331679997638
700000,1300.2402090000942,277.95683399972404,1022.2833750003701
600000,982.4573340001734,136.55137499972625,845.9059590004472
500000,776.6907499999434,110.52358299957632,666.167167000367
400000,725.3134170000521,92.25037500027611,633.063041999776
300000,519.8302919998241,88.52341700003308,431.30687499979103
200000,321.22741700004553,42.29287499993006,278.93454200011547
100000,159.00229099997887,23.8245000000461,135.17779099993277
0,0.18258399995829677,0.06933300028322265,0.11325099967507413
