limit,time
1000000,1765.529375999904
900000,1380.0245420006831
800000,1240.9664590004468
700000,1124.9098339994816
600000,1047.369167999932
500000,908.9668339993295
400000,704.6929999996792
300000,553.7330839997594
200000,345.2367090003463
100000,171.06349999994563
