limit,time
1000000,222.386125000412
900000,200.03858400013996
800000,181.5317500004312
700000,175.87112500041258
600000,143.9217090000966
500000,118.02258399984566
400000,100.80237500005751
300000,84.205459000259
200000,47.16370799997094
100000,21.901124999203603
